,Date,Open,High,Low,Close
3829,2020-12-11,17.82,17.91,16.81,17.05
3828,2020-12-10,16.75,18.04,16.67,17.99
3827,2020-12-09,18.37,18.63,16.63,17.16
3826,2020-12-08,17.47,17.92,17.16,17.63
3825,2020-12-07,16.54,18.07,16.47,17.21
3824,2020-12-04,16.4,16.93,16.12,16.4
3823,2020-12-03,15.19,16.5,15.16,16.09
3822,2020-12-02,14.16,14.86,13.85,14.86
3821,2020-12-01,14.42,14.78,14.24,14.27
3820,2020-11-30,14.92,14.96,13.93,14.13
3819,2020-11-27,15.12,15.56,14.95,14.98
3818,2020-11-25,14.77,15.08,14.37,14.94
3817,2020-11-24,14.32,14.97,14.08,14.82
3816,2020-11-23,12.75,13.58,12.69,13.56
3815,2020-11-20,12.8,12.91,12.46,12.53
3814,2020-11-19,12.73,13.04,12.63,12.79
3813,2020-11-18,12.91,13.36,12.73,12.74
3812,2020-11-17,12.48,12.81,12.23,12.7
3811,2020-11-16,12.87,12.96,12.41,12.79
3810,2020-11-13,11.91,12.25,11.85,12.24
3809,2020-11-12,11.97,12.23,11.65,11.74
3808,2020-11-11,12.4,12.46,11.93,12.04
3807,2020-11-10,12.85,13.02,12.34,12.38
3806,2020-11-09,14.33,14.41,12.75,13.2
3805,2020-11-06,11.44,11.51,11.275,11.46
3804,2020-11-05,11.12,11.67,11.09,11.6
3803,2020-11-04,11.21,11.31,10.93,11.005
3802,2020-11-03,11.34,11.45,11.15,11.25
3801,2020-11-02,11.32,11.34,10.87,11.19
3800,2020-10-30,11.06,11.415,10.98,11.28
3799,2020-10-29,10.96,11.29,10.89,11.16
3798,2020-10-28,10.89,11.16,10.63,10.95
3797,2020-10-27,11.77,11.79,11.2,11.23
3796,2020-10-26,12.39,12.45,11.67,11.8
3795,2020-10-23,13.07,13.08,12.42,12.6
3794,2020-10-22,12.6,13.29,12.42,13.15
3793,2020-10-21,12.69,12.87,12.55,12.745
3792,2020-10-20,12.75,13.0,12.585,12.8
3791,2020-10-19,12.64,12.865,12.45,12.56
3790,2020-10-16,12.3064,12.56,12.2,12.46
3789,2020-10-15,12.22,12.3,11.97,12.23
3788,2020-10-14,12.35,12.57,12.29,12.36
3787,2020-10-13,12.59,12.64,12.2,12.22
3786,2020-10-12,13.14,13.17,12.9,12.92
3785,2020-10-09,13.25,13.49,12.95,13.2
3784,2020-10-08,13.33,13.68,12.725,13.155
3783,2020-10-07,12.98,13.18,12.81,13.07
3782,2020-10-06,13.28,13.44,12.46,12.53
3781,2020-10-05,13.09,13.2,12.75,13.12
3780,2020-10-02,12.05,13.35,12.0,13.0
3779,2020-10-01,12.45,12.77,12.35,12.58
3778,2020-09-30,12.32,12.915,12.22,12.29
3777,2020-09-29,12.59,12.66,12.11,12.25
3776,2020-09-28,12.74,13.15,12.49,12.76
3775,2020-09-25,11.76,12.31,11.71,12.29
3774,2020-09-24,11.74,12.0,11.22,11.77
3773,2020-09-23,12.53,12.74,11.91,11.93
3772,2020-09-22,12.3,12.5,12.18,12.34
3771,2020-09-21,12.82,12.98,12.08,12.21
3770,2020-09-18,13.51,13.59,13.03,13.19
3769,2020-09-17,13.5,14.08,13.36,13.63
3768,2020-09-16,13.21,13.96,12.98,13.8
3767,2020-09-15,13.2686,13.66,13.0823,13.14
3766,2020-09-14,13.02,13.29,12.9,13.26
3765,2020-09-11,13.08,13.08,12.68,12.95
3764,2020-09-10,13.21,13.49,12.97,13.005
3763,2020-09-09,13.48,13.58,12.8,13.05
3762,2020-09-08,13.36,14.16,13.15,13.63
3761,2020-09-04,13.65,13.82,12.96,13.61
3760,2020-09-03,13.4,14.07,13.03,13.36
3759,2020-09-02,12.94,13.34,12.67,13.23
3758,2020-09-01,12.86,13.84,12.66,13.1
3757,2020-08-31,13.6,13.74,13.05,13.05
3756,2020-08-28,13.59,13.63,13.23,13.59
3755,2020-08-27,13.43,14.26,13.12,13.28
3754,2020-08-26,13.11,13.15,12.7,12.785
3753,2020-08-25,13.69,14.02,12.77,13.14
3752,2020-08-24,12.44,13.48,12.27,13.44
3751,2020-08-21,12.4385,12.63,12.09,12.16
3750,2020-08-20,12.38,12.67,12.26,12.5
3749,2020-08-19,12.65,13.44,12.58,12.68
3748,2020-08-18,12.6,12.88,12.51,12.6
3747,2020-08-17,13.32,13.38,12.61,12.62
3746,2020-08-14,13.11,13.56,13.01,13.33
3745,2020-08-13,13.19,13.9,13.11,13.3
3744,2020-08-12,14.03,14.06,13.1,13.54
3743,2020-08-11,15.02,15.1,13.55,13.73
3742,2020-08-10,13.29,14.31,13.21,14.0
3741,2020-08-07,12.86,13.16,12.58,13.03
3740,2020-08-06,13.04,13.29,12.47,13.04
3739,2020-08-05,11.84,12.85,11.55,12.56
3738,2020-08-04,11.21,11.88,11.16,11.47
3737,2020-08-03,11.07,11.235,10.71,11.08
3736,2020-07-31,11.16,11.25,10.8,11.12
3735,2020-07-30,11.22,11.39,11.12,11.18
3734,2020-07-29,11.8,11.92,11.3,11.4
3733,2020-07-28,11.37,11.995,11.36,11.77
3732,2020-07-27,11.48,11.7938,11.18,11.39
3731,2020-07-24,11.67,11.82,11.34,11.39
3730,2020-07-23,11.27,12.41,11.01,11.77
3729,2020-07-22,11.38,11.67,11.3,11.36
3728,2020-07-21,11.57,11.79,11.28,11.47
3727,2020-07-20,11.93,12.51,11.35,11.47
3726,2020-07-17,12.48,12.6,11.89,11.91
3725,2020-07-16,12.8,13.07,12.29,12.45
3724,2020-07-15,12.45,13.48,12.21,13.44
3723,2020-07-14,11.32,11.84,11.22,11.57
3722,2020-07-13,12.13,12.27,11.45,11.63
