,Date,Open,High,Low,Close
5313,2020-12-11,122.43,122.76,120.55,122.41
5312,2020-12-10,120.5,123.87,120.15,123.24
5311,2020-12-09,124.53,125.95,121.0,121.78
5310,2020-12-08,124.37,124.98,123.09,124.38
5309,2020-12-07,122.31,124.57,122.25,123.75
5308,2020-12-04,122.6,122.8608,121.52,122.25
5307,2020-12-03,123.52,123.78,122.21,122.94
5306,2020-12-02,122.02,123.37,120.89,123.08
5305,2020-12-01,121.01,123.4693,120.01,122.72
5304,2020-11-30,116.97,120.97,116.81,119.05
5303,2020-11-27,116.57,117.49,116.22,116.59
5302,2020-11-25,115.55,116.75,115.17,116.03
5301,2020-11-24,113.91,115.85,112.59,115.17
5300,2020-11-23,117.18,117.6202,113.75,113.85
5299,2020-11-20,118.64,118.77,117.29,117.34
5298,2020-11-19,117.59,119.06,116.81,118.64
5297,2020-11-18,118.61,119.82,118.0,118.03
5296,2020-11-17,119.55,120.6741,118.96,119.39
5295,2020-11-16,118.92,120.99,118.146,120.3
5294,2020-11-13,119.44,119.6717,117.87,119.26
5293,2020-11-12,119.62,120.53,118.57,119.21
5292,2020-11-11,117.19,119.63,116.44,119.49
5291,2020-11-10,115.55,117.59,114.13,115.97
5290,2020-11-09,120.5,121.99,116.05,116.32
5289,2020-11-06,118.32,119.2,116.13,118.69
5288,2020-11-05,117.95,119.62,116.8686,119.03
5287,2020-11-04,114.14,115.59,112.35,114.95
5286,2020-11-03,109.66,111.49,108.73,110.44
5285,2020-11-02,109.11,110.68,107.32,108.77
5284,2020-10-30,111.06,111.99,107.72,108.86
5283,2020-10-29,112.37,116.93,112.2,115.32
5282,2020-10-28,115.05,115.43,111.1,111.2
5281,2020-10-27,115.49,117.28,114.5399,116.6
5280,2020-10-26,114.01,116.55,112.88,115.05
5279,2020-10-23,116.39,116.55,114.28,115.04
5278,2020-10-22,117.45,118.04,114.59,115.75
5277,2020-10-21,116.67,118.705,116.45,116.87
5276,2020-10-20,116.2,118.98,115.63,117.51
5275,2020-10-19,119.96,120.419,115.66,115.98
5274,2020-10-16,121.28,121.548,118.81,119.02
