,Date,Open,High,Low,Close
5313,2020-12-11,3096.66,3118.67,3072.82,3116.42
5312,2020-12-10,3088.99,3142.1,3076.0,3101.49
5311,2020-12-09,3167.89,3174.43,3088.0,3104.2
5310,2020-12-08,3158.9,3184.13,3120.02,3177.29
5309,2020-12-07,3156.48,3180.76,3141.69,3158.0
5308,2020-12-04,3198.21,3198.21,3158.76,3162.58
5307,2020-12-03,3205.46,3228.64,3181.31,3186.73
5306,2020-12-02,3221.65,3232.0,3173.2601,3203.53
5305,2020-12-01,3188.5,3248.95,3157.18,3220.08
5304,2020-11-30,3208.48,3228.39,3125.55,3168.04
5303,2020-11-27,3211.26,3216.19,3190.05,3195.34
5302,2020-11-25,3141.87,3198.0,3140.26,3185.07
5301,2020-11-24,3100.5,3134.25,3086.258,3118.06
5300,2020-11-23,3116.6986,3139.745,3065.46,3098.39
5299,2020-11-20,3117.02,3132.89,3098.0456,3099.4
5298,2020-11-19,3105.31,3125.0,3080.92,3117.02
5297,2020-11-18,3134.0,3140.0,3105.1,3105.46
5296,2020-11-17,3183.5445,3189.25,3135.26,3135.66
5295,2020-11-16,3093.2,3142.7,3072.685,3131.06
5294,2020-11-13,3122.0,3141.7227,3085.39,3128.81
5293,2020-11-12,3159.95,3175.88,3086.05,3110.28
5292,2020-11-11,3061.78,3139.145,3050.0,3137.39
5291,2020-11-10,3095.02,3114.0,3019.4828,3035.02
5290,2020-11-09,3231.03,3289.0,3112.1057,3143.74
5289,2020-11-06,3304.64,3322.0,3232.0,3311.37
5288,2020-11-05,3319.97,3366.8,3288.88,3322.0
5287,2020-11-04,3159.99,3244.85,3139.73,3241.16
5286,2020-11-03,3018.53,3074.9,2980.98,3048.41
5285,2020-11-02,3061.74,3079.705,2950.12,3004.48
5284,2020-10-30,3157.75,3167.004,3019.0,3036.15
5283,2020-10-29,3201.27,3257.25,3164.0,3211.01
5282,2020-10-28,3249.3,3264.02,3162.47,3162.78
5281,2020-10-27,3224.94,3291.66,3211.3,3286.33
5280,2020-10-26,3198.74,3282.9799,3153.3,3207.04
5279,2020-10-23,3191.0,3205.33,3140.0,3204.4
5278,2020-10-22,3189.87,3198.75,3121.94,3176.4
5277,2020-10-21,3212.5,3233.875,3160.0,3184.94
5276,2020-10-20,3222.28,3266.0,3192.01,3217.01
5275,2020-10-19,3299.61,3329.0,3192.735,3207.21
5274,2020-10-16,3363.23,3399.6606,3160.0,3272.71
5273,2020-10-15,3292.01,3355.88,3280.0,3338.65
5272,2020-10-14,3447.0,3464.88,3340.0,3363.71
5271,2020-10-13,3467.99,3492.38,3424.217,3443.63
5270,2020-10-12,3349.94,3496.24,3339.55,3442.93
5269,2020-10-09,3210.0,3288.99,3197.83,3286.65
5268,2020-10-08,3224.99,3233.2944,3174.99,3190.55
5267,2020-10-07,3135.0,3200.0,3132.385,3195.69
5266,2020-10-06,3165.0,3182.0,3090.0,3099.96
5265,2020-10-05,3145.84,3202.53,3140.85,3199.2
5264,2020-10-02,3153.63,3195.7965,3123.0,3125.0
5263,2020-10-01,3208.0,3224.0,3172.0,3221.26
5262,2020-09-30,3141.14,3212.88,3133.99,3148.73
5261,2020-09-29,3175.39,3188.26,3132.54,3144.88
5260,2020-09-28,3148.85,3175.04,3117.1684,3174.05
5259,2020-09-25,3054.86,3101.54,2999.0,3095.13
5258,2020-09-24,2977.79,3069.3,2965.0,3019.79
5257,2020-09-23,3120.43,3126.999,2992.3759,2999.86
5256,2020-09-22,3033.835,3133.99,3000.2,3128.99
5255,2020-09-21,2906.5,2962.0,2871.0,2960.47
5254,2020-09-18,3031.74,3037.8,2905.54,2954.91
5253,2020-09-17,3009.25,3029.432,2972.55,3008.73
5252,2020-09-16,3179.99,3187.238,3074.15,3078.1
5251,2020-09-15,3136.16,3175.02,3108.92,3156.13
5250,2020-09-14,3172.9372,3187.39,3096.0,3102.97
5249,2020-09-11,3208.69,3217.3409,3083.98,3116.22
5248,2020-09-10,3307.2188,3349.89,3170.55,3175.11
5247,2020-09-09,3202.99,3303.175,3185.0,3268.61
5246,2020-09-08,3144.0,3250.845,3130.0,3149.84
5245,2020-09-04,3318.0,3381.5,3111.13,3294.62
5244,2020-09-03,3485.0,3488.41,3303.0,3368.0
5243,2020-09-02,3547.0,3552.25,3486.685,3531.45
5242,2020-09-01,3489.58,3513.87,3467.0,3499.12
5241,2020-08-31,3408.99,3495.0,3405.0,3450.96
5240,2020-08-28,3423.0,3433.3699,3386.5,3401.8
5239,2020-08-27,3450.05,3453.0,3378.0,3400.0
5238,2020-08-26,3351.11,3451.7387,3344.5675,3441.85
5237,2020-08-25,3294.99,3357.4,3267.0,3346.49
5236,2020-08-24,3310.15,3380.315,3257.5608,3307.46
5235,2020-08-21,3295.0,3314.3962,3275.39,3284.72
