,Date,Open,High,Low,Close
2156,2020-12-11,274.53,276.48,270.25,273.55
2155,2020-12-10,275.535,278.73,271.86,277.12
2154,2020-12-09,283.66,287.63,271.75,277.92
2153,2020-12-08,286.01,286.4272,281.55,283.4
2152,2020-12-07,279.19,288.49,278.2,285.58
2151,2020-12-04,280.3,283.46,279.3,279.7
2150,2020-12-03,286.25,286.65,281.07,281.85
2149,2020-12-02,285.36,291.78,280.825,287.52
2148,2020-12-01,279.16,289.3,278.96,286.55
2147,2020-11-30,276.03,277.7,271.01,276.97
2146,2020-11-27,277.39,279.13,274.82,277.81
2145,2020-11-25,278.14,280.18,272.65,275.59
2144,2020-11-24,268.49,277.8199,267.87,276.92
2143,2020-11-23,270.89,270.9471,264.53,268.43
2142,2020-11-20,272.56,273.0,269.41,269.7
2141,2020-11-19,271.025,273.47,269.19,272.94
2140,2020-11-18,274.52,277.3889,271.84,271.97
2139,2020-11-17,277.68,277.68,273.29,275.0
2138,2020-11-16,275.05,279.41,274.63,278.96
2137,2020-11-13,277.72,277.76,273.1,276.95
2136,2020-11-12,277.18,279.75,274.43,275.08
2135,2020-11-11,273.47,278.4,272.48,276.48
2134,2020-11-10,273.1,274.0,264.0,272.43
2133,2020-11-09,289.87,292.58,278.53,278.77
2132,2020-11-06,293.95,294.6,288.06,293.41
2131,2020-11-05,291.8965,297.38,288.95,294.68
2130,2020-11-04,281.0,288.94,278.62,287.38
2129,2020-11-03,263.16,270.05,260.88,265.3
2128,2020-11-02,264.6,270.47,257.34,261.36
2127,2020-10-30,274.5,276.7,259.1,263.11
2126,2020-10-29,276.55,283.6,273.78,280.83
2125,2020-10-28,278.79,278.79,267.26,267.67
2124,2020-10-27,278.76,284.51,276.31,283.29
2123,2020-10-26,283.16,285.23,274.26,277.11
2122,2020-10-23,278.8024,285.24,276.82,284.79
2121,2020-10-22,279.87,282.45,275.04,278.12
2120,2020-10-21,279.56,283.05,276.37,278.73
2119,2020-10-20,263.06,269.7,262.88,267.56
2118,2020-10-19,265.53,268.55,259.88,261.4
2117,2020-10-16,267.375,271.37,265.3,265.93
2116,2020-10-15,267.6,269.04,263.67,266.72
2115,2020-10-14,277.62,278.75,271.5,271.82
2114,2020-10-13,277.58,279.1,273.39,276.14
2113,2020-10-12,270.2,280.18,267.87,275.75
2112,2020-10-09,264.52,264.75,262.17,264.45
2111,2020-10-08,259.75,264.62,259.1488,263.76
2110,2020-10-07,259.21,260.18,254.82,258.12
2109,2020-10-06,261.78,265.69,258.24,258.66
2108,2020-10-05,262.2,264.865,260.8401,264.65
2107,2020-10-02,261.21,265.15,259.18,259.94
