,Date,Open,High,Low,Close
5313,2020-12-11,210.05,213.32,209.11,213.26
5312,2020-12-10,211.77,213.08,210.36,210.52
5311,2020-12-09,215.16,215.225,211.214,211.8
5310,2020-12-08,213.97,216.95,212.89,216.01
5309,2020-12-07,214.37,215.54,212.99,214.29
5308,2020-12-04,214.22,215.38,213.18,214.36
5307,2020-12-03,214.61,216.3757,213.65,214.24
5306,2020-12-02,214.88,215.47,212.8,215.37
5305,2020-12-01,214.51,217.32,213.35,216.21
5304,2020-11-30,214.1,214.76,210.835,214.07
5303,2020-11-27,214.85,216.27,214.04,215.23
5302,2020-11-25,215.11,215.29,212.46,213.87
5301,2020-11-24,209.59,214.25,208.86,213.86
5300,2020-11-23,210.95,212.29,208.16,210.11
5299,2020-11-20,212.2,213.285,210.0,210.39
5298,2020-11-19,211.38,213.03,209.93,212.42
5297,2020-11-18,213.65,215.17,210.93,211.08
5296,2020-11-17,216.1,217.68,214.08,214.46
5295,2020-11-16,214.87,217.74,214.52,217.23
5294,2020-11-13,216.36,217.42,214.16,216.51
5293,2020-11-12,217.21,219.11,214.46,215.44
5292,2020-11-11,212.39,218.04,212.2,216.55
5291,2020-11-10,214.5,216.5,209.72,211.01
5290,2020-11-09,224.435,228.12,217.88,218.39
5289,2020-11-06,222.26,224.36,218.03,223.72
5288,2020-11-05,222.04,224.12,221.15,223.29
5287,2020-11-04,214.02,218.32,212.4185,216.39
5286,2020-11-03,203.89,208.12,203.12,206.43
5285,2020-11-02,204.29,205.28,200.12,202.33
5284,2020-10-30,203.5,204.29,199.62,202.47
5283,2020-10-29,204.07,207.36,203.37,204.72
5282,2020-10-28,207.67,208.84,202.1,202.68
5281,2020-10-27,211.59,214.67,210.329,213.25
5280,2020-10-26,213.85,216.3399,208.1,210.08
5279,2020-10-23,215.03,216.28,213.16,216.23
5278,2020-10-22,213.93,216.055,211.7,214.89
5277,2020-10-21,213.12,216.92,213.12,214.8
5276,2020-10-20,215.8,217.37,213.0901,214.65
5275,2020-10-19,220.415,222.3,213.72,214.22
5274,2020-10-16,220.15,222.29,219.32,219.66
5273,2020-10-15,217.1,220.36,216.01,219.66
5272,2020-10-14,223.0,224.22,219.13,220.86
5271,2020-10-13,222.72,225.21,220.43,222.86
5270,2020-10-12,218.79,223.86,216.81,221.4
5269,2020-10-09,211.23,215.86,211.23,215.81
5268,2020-10-08,210.51,211.19,208.32,210.58
5267,2020-10-07,207.06,210.11,206.72,209.83
