,Date,Open,High,Low,Close
4512,2017-10-06,21.97,21.97,21.97,21.97
4511,2017-10-05,21.97,21.97,21.97,21.97
4510,2017-10-04,21.97,21.97,21.97,21.97
4509,2017-10-03,21.97,21.97,21.97,21.97
4508,2017-10-02,21.97,21.97,21.97,21.97
4507,2017-09-29,21.97,21.97,21.97,21.97
4506,2017-09-28,21.97,21.97,21.97,21.97
4505,2017-09-27,22.0,22.02,21.97,21.97
4504,2017-09-26,22.0,22.0,22.0,22.0
4503,2017-09-25,22.04,22.04,22.0,22.01
4502,2017-09-22,22.0,22.04,21.99,22.04
4501,2017-09-21,22.0,22.0,22.0,22.0
4500,2017-09-20,21.99,22.02,21.99,22.01
4499,2017-09-19,22.02,22.02,22.02,22.02
4498,2017-09-18,22.01,22.02,22.01,22.02
4497,2017-09-15,21.98,22.02,21.98,22.02
4496,2017-09-14,21.98,22.0,21.98,22.0
4495,2017-09-13,21.98,22.01,21.98,21.98
4494,2017-09-12,21.98,21.99,21.98,21.98
4493,2017-09-11,21.98,22.0,21.98,22.0
4492,2017-09-08,21.98,22.0,21.98,22.0
4491,2017-09-07,22.0,22.0,21.99,22.0
4490,2017-09-06,22.0,22.01,21.99,21.99
4489,2017-09-05,21.98,22.01,21.98,22.01
4488,2017-09-01,21.99,21.99,21.99,21.99
4487,2017-08-31,22.04,22.04,21.98,21.98
4486,2017-08-30,22.0,22.05,22.0,22.01
4485,2017-08-29,22.0,22.01,21.99,21.99
4484,2017-08-28,22.0,22.03,21.98,22.0
4483,2017-08-25,22.02,22.11,22.0,22.05
4482,2017-08-24,21.98,22.03,21.97,22.02
4481,2017-08-23,21.95,22.12,21.95,21.97
4480,2017-08-22,22.0,22.01,21.95,21.96
4479,2017-08-21,21.88,22.02,21.88,21.98
4478,2017-08-18,21.87,21.91,21.86,21.88
4477,2017-08-17,21.83,21.87,21.82,21.87
4476,2017-08-16,21.89,21.9,21.87,21.9
4475,2017-08-15,21.81,21.87,21.81,21.87
4474,2017-08-14,21.85,21.87,21.84,21.87
4473,2017-08-11,21.85,21.85,21.77,21.85
4472,2017-08-10,21.83,21.85,21.8,21.85
4471,2017-08-09,21.79,21.82,21.78,21.81
4470,2017-08-08,21.85,21.86,21.83,21.85
4469,2017-08-07,21.86,21.87,21.83,21.85
4468,2017-08-04,21.9,21.9,21.8,21.86
4467,2017-08-03,21.81,21.9,21.81,21.9
4466,2017-08-02,21.96,21.96,21.82,21.85
4465,2017-08-01,21.87,21.98,21.86,21.98
4464,2017-07-31,21.81,21.86,21.81,21.85
4463,2017-07-28,21.8,21.81,21.79,21.81
4462,2017-07-27,21.84,21.84,21.84,21.84
4461,2017-07-26,21.85,21.85,21.75,21.84
4460,2017-07-25,21.97,21.97,21.75,21.82
4459,2017-07-24,21.79,21.86,21.76,21.85
4458,2017-07-21,21.8,21.93,21.75,21.76
4457,2017-07-20,21.78,21.82,21.78,21.81
4456,2017-07-19,21.73,21.8,21.71,21.8
4455,2017-07-18,21.67,21.77,21.6,21.75
4454,2017-07-17,21.88,22.1,21.67,21.73
4453,2017-07-14,13.7,13.7,13.36,13.69
4452,2017-07-13,13.67,13.9,13.67,13.75
4451,2017-07-12,13.46,13.66,13.46,13.66
4450,2017-07-11,13.79,14.03,13.36,13.63
4449,2017-07-10,13.18,13.95,12.9,13.78
4448,2017-07-07,13.0,13.5,12.8,13.35
4447,2017-07-06,12.95,13.5,12.8,13.0
4446,2017-07-05,13.38,13.38,12.56,13.17
4445,2017-07-03,13.41,13.41,13.41,13.41
4444,2017-06-30,13.1,13.49,13.1,13.4
4443,2017-06-29,13.12,13.12,13.12,13.12
4442,2017-06-28,13.43,13.43,13.11,13.12
4441,2017-06-27,13.37,13.37,13.0,13.36
4440,2017-06-26,13.0,13.48,13.0,13.4
4439,2017-06-23,13.02,13.28,12.58,13.0
4438,2017-06-22,12.5,13.45,12.4,12.78
4437,2017-06-21,14.12,14.12,11.31,12.5
4436,2017-06-20,14.7,15.06,14.03,14.47
4435,2017-06-19,15.98,16.21,15.9,15.9
4434,2017-06-16,16.1,16.48,15.2,15.8
4433,2017-06-15,14.41,15.3,14.41,15.26
4432,2017-06-14,15.06,16.1,15.04,15.3
4431,2017-06-13,14.12,16.3,14.12,15.0
4430,2017-06-12,15.83,16.05,14.06,14.99
4429,2017-06-09,16.35,16.35,16.01,16.01
4428,2017-06-08,15.58,16.45,15.51,16.1
4427,2017-06-07,16.0,16.26,15.4,15.4
4426,2017-06-06,16.39,16.49,16.04,16.48
4425,2017-06-05,16.69,16.69,15.58,16.5
4424,2017-06-02,15.36,16.6,15.36,16.48
4423,2017-06-01,16.0,16.0,15.3,15.3
4422,2017-05-31,14.95,15.5,14.8,15.2
4421,2017-05-30,15.3,15.9,14.9,14.97
4420,2017-05-26,15.75,15.75,15.57,15.67
4419,2017-05-25,16.0,16.0,15.33,15.65
4418,2017-05-24,16.04,16.1,15.8,15.92
4417,2017-05-23,15.74,16.35,15.74,16.14
4416,2017-05-22,15.88,15.99,15.11,15.97
4415,2017-05-19,14.66,16.0,14.66,15.74
4414,2017-05-18,14.7,14.86,14.5,14.76
4413,2017-05-17,14.46,14.85,13.7,14.85
4412,2017-05-16,14.7,14.9,13.69,14.9
4411,2017-05-15,13.84,14.79,13.3,14.6
4410,2017-05-12,13.58,14.18,13.58,13.75
4409,2017-05-11,13.75,13.75,13.2,13.65
4408,2017-05-10,13.28,14.04,13.28,13.7
4407,2017-05-09,12.94,13.8,12.7,13.8
4406,2017-05-08,12.92,13.13,12.72,13.13
4405,2017-05-05,12.63,12.96,12.63,12.96
4404,2017-05-04,14.03,14.03,12.54,12.54
4403,2017-05-03,14.07,14.74,13.5,14.03
4402,2017-05-02,14.35,14.4,13.7,14.0
4401,2017-05-01,13.9,14.44,13.6,14.29
4400,2017-04-28,14.54,14.87,13.8,13.8
4399,2017-04-27,14.54,14.65,13.97,14.5
4398,2017-04-26,14.55,14.8,13.74,14.6
4397,2017-04-25,14.55,15.0,14.5,14.79
4396,2017-04-24,14.67,14.7,14.25,14.5
4395,2017-04-21,14.1,14.75,14.1,14.69
4394,2017-04-20,13.58,14.1,13.58,14.1
4393,2017-04-19,13.38,14.0,13.38,13.53
4392,2017-04-18,13.21,13.27,12.7,13.17
4391,2017-04-17,13.2,13.29,13.2,13.25
4390,2017-04-13,13.25,13.85,13.01,13.2
4389,2017-04-12,13.95,13.95,13.29,13.49
4388,2017-04-11,14.16,14.55,13.72,13.91
4387,2017-04-10,13.99,14.54,13.95,14.49
4386,2017-04-07,14.09,14.51,13.42,13.75
4385,2017-04-06,13.65,14.19,13.49,14.14
4384,2017-04-05,14.15,14.5,13.51,13.8
4383,2017-04-04,13.73,14.59,13.53,14.2
4382,2017-04-03,14.66,15.35,13.95,14.2
4381,2017-03-31,14.19,15.21,13.33,14.6
4380,2017-03-30,13.53,14.0,13.06,13.97
4379,2017-03-29,13.0,13.61,12.9,13.58
4378,2017-03-28,12.33,13.47,12.13,12.96
4377,2017-03-27,12.78,12.9,12.0,12.28
4376,2017-03-24,12.2,12.49,11.63,12.49
4375,2017-03-23,12.31,12.63,11.3,11.95
4374,2017-03-22,12.5,12.51,12.23,12.44
4373,2017-03-21,13.06,13.06,12.4,12.5
4372,2017-03-20,13.61,13.61,13.0,13.0
4371,2017-03-17,13.8,14.38,12.95,14.38
4370,2017-03-16,13.76,13.89,13.76,13.84
4369,2017-03-15,14.0,14.13,13.68,13.72
4368,2017-03-14,14.18,14.5,13.82,14.04
4367,2017-03-13,14.92,14.92,13.46,14.04
4366,2017-03-10,13.63,13.71,13.51,13.52
4365,2017-03-09,13.97,13.97,13.43,13.52
4364,2017-03-08,14.3,14.72,13.75,13.87
4363,2017-03-07,14.75,15.1,14.31,14.42
4362,2017-03-06,15.11,15.21,14.47,15.0
4361,2017-03-03,15.08,15.38,14.3,15.2
4360,2017-03-02,15.1,16.0,14.25,15.85
4359,2017-03-01,15.12,15.35,14.1,15.35
4358,2017-02-28,14.74,15.0,14.28,14.86
4357,2017-02-27,14.47,14.85,14.01,14.85
4356,2017-02-24,15.05,15.26,13.5,14.34
4355,2017-02-23,14.65,16.43,14.65,15.2
4354,2017-02-22,13.91,14.25,13.91,14.25
4353,2017-02-21,13.75,14.12,13.68,13.73
4352,2017-02-17,14.0,14.0,13.62,13.88
4351,2017-02-16,14.19,14.29,13.62,14.12
4350,2017-02-15,13.48,14.45,13.48,14.45
4349,2017-02-14,14.66,14.66,13.44,14.0
4348,2017-02-13,15.7,15.7,14.3,14.51
4347,2017-02-10,14.8,15.67,14.64,15.27
4346,2017-02-09,14.91,15.05,14.54,14.67
4345,2017-02-08,15.19,15.19,14.18,14.76
4344,2017-02-07,15.44,15.44,14.01,15.25
4343,2017-02-06,15.24,17.54,14.91,15.69
4342,2017-02-03,9.2,13.75,9.2,13.51
4341,2017-02-02,8.92,8.92,8.92,8.92
4340,2017-02-01,8.95,8.97,8.92,8.92
4339,2017-01-31,8.999,9.0912,8.9652,9.0912
4338,2017-01-30,9.0,9.0,8.74,8.86
4337,2017-01-27,8.8721,8.8721,8.8721,8.8721
4336,2017-01-26,8.99,9.0,8.6474,8.92
4335,2017-01-25,8.6,8.82,8.4101,8.82
4334,2017-01-24,8.464,8.7999,8.42,8.55
4333,2017-01-23,8.48,8.5938,8.45,8.464
4332,2017-01-20,8.39,8.75,8.39,8.75
4331,2017-01-19,8.22,8.36,8.22,8.36
4330,2017-01-18,8.23,8.23,8.22,8.22
4329,2017-01-17,8.25,8.25,8.2,8.2
4328,2017-01-13,8.25,8.25,8.2325,8.2325
4327,2017-01-12,8.25,8.25,8.25,8.25
4326,2017-01-11,8.27,8.31,8.19,8.3099
4325,2017-01-10,8.48,8.48,8.48,8.48
4324,2017-01-09,8.3,8.5,8.3,8.48
4323,2017-01-06,8.34,8.78,8.34,8.36
4322,2017-01-05,8.5,8.77,8.35,8.35
4321,2017-01-04,8.45,8.76,8.45,8.5
4320,2017-01-03,8.2758,8.3612,8.251,8.251
4319,2016-12-30,8.54,8.6875,8.1232,8.5395
4318,2016-12-29,8.2,8.9896,8.15,8.43
4317,2016-12-28,8.29,8.2995,8.2,8.2
4316,2016-12-27,8.3259,8.8,8.3,8.51
4315,2016-12-23,8.5144,8.5144,8.5144,8.5144
4314,2016-12-22,8.422,8.5144,8.422,8.5144
4313,2016-12-21,8.4,8.45,8.4,8.45
4312,2016-12-20,8.45,8.45,8.13,8.3
4311,2016-12-19,8.75,8.75,8.4,8.4
4310,2016-12-16,8.5,8.92,8.15,8.92
4309,2016-12-15,8.2501,8.9455,8.25,8.5
4308,2016-12-14,8.89,8.89,8.25,8.43
4307,2016-12-13,8.65,9.2677,8.4,8.58
4306,2016-12-12,9.0,9.0,8.1,8.2
4305,2016-12-09,9.19,9.3712,8.9744,9.29
4304,2016-12-08,8.6,8.7235,8.53,8.53
